control,shipmonth,weight,wgtadj,status,region,titled,sections,price,sqft,bedrooms,location,foundation,secured,jstatus,jprice,jsqft,jbedroom,jtitle,jlocation,jfoundation,jsecured
17020561,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020562,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020563,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020564,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020565,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020566,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020567,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020568,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020569,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020570,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020571,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020572,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020573,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020574,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020575,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020576,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020577,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020578,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020579,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020580,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020581,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020582,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020583,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020584,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020585,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020586,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020587,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020588,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020589,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020590,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020591,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020592,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020593,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020594,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020595,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020596,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020597,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020598,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020599,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020600,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020601,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020602,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020603,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020604,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020605,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020606,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020607,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020608,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020609,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020610,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020611,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020612,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020613,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020614,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020615,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020616,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020617,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020618,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020619,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020620,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020621,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020622,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020623,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020624,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020625,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020626,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020627,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020628,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020629,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020630,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020631,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020632,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020633,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020634,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020635,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020636,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020637,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020638,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020639,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020640,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020641,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020642,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020643,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020644,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020645,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020646,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020647,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020648,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020649,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020650,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020651,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020652,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020653,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020654,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020655,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020656,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020657,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020658,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020659,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020660,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020661,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020662,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020663,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020664,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020665,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020666,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020667,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020668,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020669,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020670,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020671,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020672,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020673,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020674,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020675,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020676,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020677,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020678,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020679,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020680,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020681,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020682,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020683,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020684,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020685,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020686,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020687,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020688,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020689,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020690,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020691,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020692,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020693,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020694,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020695,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020696,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020697,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020698,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020699,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020700,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020701,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020702,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020703,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020704,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020705,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020706,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020707,201702,1.0,0.9816,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020708,201702,15.031600000000001,0.9816,1,4,9,1,52000,1200,3,9,9,9,I,I,I,I,9,9,9,9
17020709,201702,15.031600000000001,0.9816,1,4,9,1,50000,1200,3,9,9,9,I,I,I,I,9,9,9,9
17020710,201702,15.031600000000001,0.9816,1,4,9,1,94600,1100,3,9,9,9,R,R,I,I,9,9,9,9
17020711,201702,15.031600000000001,0.9816,1,4,9,1,60000,800,3,9,9,9,R,R,R,R,9,9,9,9
17020712,201702,15.031600000000001,0.9816,1,4,9,1,32000,800,1,9,9,9,R,R,R,R,9,9,9,9
17020713,201702,15.031600000000001,0.9816,2,4,2,1,9,1000,3,1,3,1,R,9,R,R,R,R,R,R
17020714,201702,15.031600000000001,0.9816,2,4,2,1,60000,1200,3,3,3,1,R,R,R,R,R,R,R,R
17020715,201702,15.031600000000001,0.9816,2,4,2,1,70000,700,1,1,2,1,R,R,R,R,R,R,R,R
17020716,201702,15.031600000000001,0.9816,2,4,2,1,43000,1200,3,1,3,1,R,R,R,R,R,R,R,R
17020717,201702,15.031600000000001,0.9816,2,4,3,1,9,1100,3,1,3,1,R,9,R,R,R,R,R,R
17020718,201702,15.031600000000001,0.9816,2,4,1,1,49000,1100,3,1,1,9,I,I,I,I,I,I,I,I
17020719,201702,15.031600000000001,0.9816,2,4,1,1,48000,1100,3,3,1,9,I,I,I,I,I,I,I,I
17020720,201702,3.6167000000000002,1.1434,1,1,9,2,92000,1500,3,9,9,9,I,I,I,I,9,9,9,9
17020721,201702,3.6167000000000002,1.1434,1,1,9,2,76000,1700,3,9,9,9,R,R,R,R,9,9,9,9
17020722,201702,3.6167000000000002,1.1434,1,1,9,2,72000,1000,3,9,9,9,I,I,I,I,9,9,9,9
17020723,201702,3.6167000000000002,1.1434,1,1,9,2,91000,2000,3,9,9,9,R,R,R,R,9,9,9,9
17020724,201702,3.6167000000000002,1.1434,1,1,9,2,169000,1000,1,9,9,9,R,R,R,R,9,9,9,9
17020725,201702,3.6167000000000002,1.1434,1,1,9,2,86000,1300,3,9,9,9,R,I,I,I,9,9,9,9
17020726,201702,3.6167000000000002,1.1434,1,1,9,2,58000,1200,3,9,9,9,R,R,R,R,9,9,9,9
17020727,201702,3.6167000000000002,1.1434,1,1,9,2,102000,1800,3,9,9,9,R,I,R,R,9,9,9,9
17020728,201702,3.6167000000000002,1.1434,1,1,9,2,76000,1200,1,9,9,9,R,R,R,R,9,9,9,9
17020729,201702,3.6167000000000002,1.1434,1,1,9,2,88000,1500,3,9,9,9,R,R,R,R,9,9,9,9
17020730,201702,3.6167000000000002,1.1434,1,1,9,2,68000,1200,1,9,9,9,R,R,R,R,9,9,9,9
17020731,201702,3.6167000000000002,1.1434,1,1,9,2,50800,1300,3,9,9,9,R,R,R,R,9,9,9,9
17020732,201702,3.6167000000000002,1.1434,1,1,9,2,86000,1300,1,9,9,9,R,I,I,I,9,9,9,9
17020733,201702,3.6167000000000002,1.1434,1,1,9,2,80000,2000,3,9,9,9,R,R,R,R,9,9,9,9
17020734,201702,3.6167000000000002,1.1434,1,1,9,2,223000,1300,1,9,9,9,R,R,R,R,9,9,9,9
17020735,201702,3.6167000000000002,1.1434,2,1,2,2,64000,1200,3,3,2,1,R,R,R,R,R,R,R,R
17020736,201702,3.6167000000000002,1.1434,2,1,2,2,94000,1500,3,3,2,1,R,R,R,R,R,R,R,R
17020737,201702,3.6167000000000002,1.1434,2,1,2,2,150000,1600,1,1,2,1,R,R,R,R,R,R,R,R
17020738,201702,3.6167000000000002,1.1434,2,1,1,2,151000,1300,1,3,3,1,R,R,R,R,R,R,R,R
17020739,201702,3.6167000000000002,1.1434,2,1,2,2,78000,1600,3,1,2,1,R,R,R,R,R,R,R,R
17020740,201702,3.6167000000000002,1.1434,2,1,2,2,128000,1700,3,1,3,1,R,R,R,R,R,R,R,R
17020741,201702,3.6167000000000002,1.1434,2,1,2,2,50800,1000,3,1,3,1,R,R,R,R,R,R,R,R
17020742,201702,3.6167000000000002,1.1434,2,1,2,2,77000,1600,3,1,3,1,R,R,R,R,R,R,R,R
17020743,201702,3.6167000000000002,1.1434,2,1,3,2,96000,1700,3,3,2,1,R,I,R,R,R,R,R,R
17020744,201702,3.6167000000000002,1.1434,2,1,2,2,119000,1300,1,1,3,1,R,R,R,R,R,R,R,R
17020745,201702,3.6167000000000002,1.1434,2,1,2,2,74000,1200,3,1,3,1,R,R,R,R,R,R,R,R
17020746,201702,3.6167000000000002,1.1434,2,1,3,2,84000,1300,3,1,3,1,R,R,R,R,R,R,R,R
17020747,201702,3.6167000000000002,1.1434,2,1,2,2,63000,1300,3,3,3,1,R,R,R,R,R,R,R,R
17020748,201702,3.6167000000000002,1.1434,2,1,2,2,93000,1600,3,1,2,1,I,I,I,I,I,I,I,I
17020749,201702,3.6167000000000002,1.1434,2,1,2,2,111000,2000,3,1,3,1,R,I,R,R,R,R,R,R
17020750,201702,3.6167000000000002,1.1434,2,1,1,2,93000,1600,3,3,3,1,R,I,R,R,R,R,I,R
17020751,201702,3.6167000000000002,1.1434,2,1,1,2,60000,1300,3,1,3,1,R,R,R,R,R,R,R,R
17020752,201702,3.6167000000000002,1.1434,2,1,2,2,223000,1600,3,1,1,9,R,R,R,R,R,R,R,R
17020753,201702,3.6167000000000002,1.1434,2,1,2,2,93000,1700,3,3,1,9,R,R,R,R,R,R,R,R
17020754,201702,3.6167000000000002,1.1434,2,1,1,2,91000,1600,3,3,1,9,R,R,R,R,R,R,R,R
17020755,201702,3.6167000000000002,1.1434,2,1,2,2,79000,1000,3,3,1,9,R,R,R,R,R,R,R,R
17020756,201702,3.6167000000000002,1.1434,2,1,3,2,83000,1600,3,1,1,9,R,R,R,R,R,R,R,R
17020757,201702,3.6167000000000002,1.1434,2,1,1,2,128000,1800,3,3,1,9,R,R,R,R,R,R,R,R
17020758,201702,3.6167000000000002,1.1434,2,1,1,2,93000,1700,3,3,1,9,R,R,R,R,R,R,R,R
17020759,201702,3.6167000000000002,1.1434,2,1,2,2,78000,1800,3,3,1,9,R,R,R,R,R,R,R,R
17020760,201702,3.6167000000000002,1.1434,2,1,1,2,137000,2000,3,1,1,9,R,R,R,R,R,R,R,R
17020761,201702,3.6167000000000002,1.1434,2,1,1,2,86000,1300,3,1,1,9,I,I,I,I,I,I,I,I
17020762,201702,3.6167000000000002,1.1434,2,1,1,2,72000,1300,3,3,1,9,R,R,R,R,R,R,R,R
17020763,201702,3.6167000000000002,1.1434,2,1,2,2,69000,1500,3,3,1,9,R,R,R,R,R,R,R,R
17020764,201702,3.6167000000000002,1.1434,2,1,1,2,92000,1600,3,3,1,9,R,R,R,R,R,R,R,R
17020765,201702,3.6167000000000002,1.1434,2,1,1,2,9,1700,3,1,1,9,R,9,I,I,I,R,I,R
17020766,201702,3.6167000000000002,1.1434,2,1,2,2,143000,2000,1,3,1,9,R,R,R,R,R,R,R,R
17020767,201702,3.6167000000000002,1.1434,3,5,9,2,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020768,201702,3.6167000000000002,1.1434,3,5,9,2,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17020769,201702,4.2727,1.1434,1,2,9,2,79000,1600,3,9,9,9,R,R,R,R,9,9,9,9
17020770,201702,4.2727,1.1434,1,2,9,2,114000,2300,3,9,9,9,R,I,R,R,9,9,9,9
17020771,201702,4.2727,1.1434,1,2,9,2,60000,1500,3,9,9,9,R,R,R,R,9,9,9,9
17020772,201702,4.2727,1.1434,1,2,9,2,114000,2300,3,9,9,9,I,I,I,I,9,9,9,9
17020773,201702,4.2727,1.1434,1,2,9,2,49000,1300,3,9,9,9,R,R,R,R,9,9,9,9
17020774,201702,4.2727,1.1434,1,2,9,2,56000,1300,3,9,9,9,R,R,R,R,9,9,9,9
17020775,201702,4.2727,1.1434,1,2,9,2,95000,1600,3,9,9,9,R,R,R,R,9,9,9,9
17020776,201702,4.2727,1.1434,1,2,9,2,77000,1100,3,9,9,9,R,I,I,I,9,9,9,9
17020777,201702,4.2727,1.1434,1,2,9,2,93000,1600,3,9,9,9,R,I,I,I,9,9,9,9
17020778,201702,4.2727,1.1434,1,2,9,2,90000,1600,3,9,9,9,R,R,R,R,9,9,9,9
17020779,201702,4.2727,1.1434,1,2,9,2,108000,2000,3,9,9,9,R,I,R,R,9,9,9,9
17020780,201702,4.2727,1.1434,1,2,9,2,86000,1300,3,9,9,9,I,I,I,I,9,9,9,9
17020781,201702,4.2727,1.1434,1,2,9,2,96000,1700,3,9,9,9,I,I,I,I,9,9,9,9
17020782,201702,4.2727,1.1434,1,2,9,2,76000,1800,3,9,9,9,R,R,R,R,9,9,9,9
17020783,201702,4.2727,1.1434,1,2,9,2,85000,1800,3,9,9,9,R,R,R,R,9,9,9,9
17020784,201702,4.2727,1.1434,1,2,9,2,114000,2300,3,9,9,9,R,I,R,R,9,9,9,9
17020785,201702,4.2727,1.1434,1,2,9,2,80000,2100,3,9,9,9,R,R,R,R,9,9,9,9
17020786,201702,4.2727,1.1434,1,2,9,2,147400,2100,3,9,9,9,R,R,R,R,9,9,9,9
17020787,201702,4.2727,1.1434,1,2,9,2,65000,1800,3,9,9,9,R,R,R,R,9,9,9,9
17020788,201702,4.2727,1.1434,1,2,9,2,93000,1600,3,9,9,9,R,I,R,R,9,9,9,9
17020789,201702,4.2727,1.1434,1,2,9,2,110000,2100,3,9,9,9,I,I,I,I,9,9,9,9
17020790,201702,4.2727,1.1434,1,2,9,2,71000,1500,3,9,9,9,R,R,R,R,9,9,9,9
17020791,201702,4.2727,1.1434,1,2,9,2,89000,1500,3,9,9,9,I,I,I,I,9,9,9,9
17020792,201702,4.2727,1.1434,2,2,2,2,91000,1700,3,3,3,1,R,R,R,R,R,R,R,R
17020793,201702,4.2727,1.1434,2,2,2,2,102000,1900,3,3,3,1,R,R,R,R,R,R,R,R
17020794,201702,4.2727,1.1434,2,2,2,2,101000,1800,3,1,3,1,I,I,I,I,I,I,I,I
17020795,201702,4.2727,1.1434,2,2,2,2,89000,1400,3,1,3,1,I,I,I,I,I,I,I,I
17020796,201702,4.2727,1.1434,2,2,2,2,82000,1700,3,1,2,1,R,R,R,R,R,R,R,R
17020797,201702,4.2727,1.1434,2,2,2,2,58000,1100,3,1,2,1,R,R,R,R,R,R,R,R
17020798,201702,4.2727,1.1434,2,2,2,2,147400,1700,3,1,3,1,R,R,R,R,R,R,R,R
17020799,201702,4.2727,1.1434,2,2,2,2,70000,1400,1,3,3,1,R,R,R,R,R,R,R,R
17020800,201702,4.2727,1.1434,2,2,2,2,82000,1500,3,1,3,1,R,R,R,R,R,R,R,R
17020801,201702,4.2727,1.1434,2,2,2,2,49000,1300,3,1,3,1,R,R,R,R,R,R,R,R
17020802,201702,4.2727,1.1434,2,2,2,2,79000,1100,3,1,3,1,I,I,I,I,I,I,I,I
17020803,201702,4.2727,1.1434,2,2,2,2,60000,1600,3,1,3,1,R,R,R,R,R,R,R,R
17020804,201702,4.2727,1.1434,2,2,2,2,60000,1600,3,1,3,1,R,R,R,R,R,R,R,R
17020805,201702,4.2727,1.1434,2,2,2,2,92000,1800,3,1,3,1,R,R,R,R,R,R,R,R
17020806,201702,4.2727,1.1434,2,2,3,2,114000,2300,3,1,3,1,I,I,I,I,I,I,I,I
17020807,201702,4.2727,1.1434,2,2,3,2,93000,1600,3,1,3,1,I,I,I,I,I,I,I,I
17020808,201702,4.2727,1.1434,2,2,2,2,86000,1300,3,1,3,1,R,I,I,I,I,R,R,R
17020809,201702,4.2727,1.1434,2,2,2,2,84000,1700,3,3,3,1,R,R,R,R,R,R,R,R
17020810,201702,4.2727,1.1434,2,2,1,2,91000,1500,3,1,2,1,I,I,I,I,I,I,I,I
17020811,201702,4.2727,1.1434,2,2,2,2,64000,1800,3,1,3,1,R,R,R,R,R,R,R,R
17020812,201702,4.2727,1.1434,2,2,2,2,100000,1800,3,1,3,1,R,I,I,I,I,R,R,R
17020813,201702,4.2727,1.1434,2,2,2,2,63000,2000,3,3,3,1,R,R,R,R,R,R,R,R
17020814,201702,4.2727,1.1434,2,2,2,2,64000,1600,3,3,3,1,R,R,R,R,R,R,R,R
17020815,201702,4.2727,1.1434,2,2,1,2,58000,1200,3,3,3,1,R,R,R,R,R,R,R,R
17020816,201702,4.2727,1.1434,2,2,2,2,74000,1300,3,3,3,1,R,R,R,R,R,R,R,R
